date,indicador,valor
1994-01-01,Tesouro Nacional,109164e3
1994-02-01,Tesouro Nacional,41769e3
1994-03-01,Tesouro Nacional,-478377e3
1994-04-01,Tesouro Nacional,646921e3
1994-05-01,Tesouro Nacional,-281635e3
1994-06-01,Tesouro Nacional,-46131e3
1994-07-01,Tesouro Nacional,-716781
1994-08-01,Tesouro Nacional,-746262
1994-09-01,Tesouro Nacional,-926544
1994-10-01,Tesouro Nacional,-1376222
1994-11-01,Tesouro Nacional,-1517648
1994-12-01,Tesouro Nacional,-448325
1995-01-01,Tesouro Nacional,-161586
1995-02-01,Tesouro Nacional,761785
1995-03-01,Tesouro Nacional,-590883
1995-04-01,Tesouro Nacional,-1992572
1995-05-01,Tesouro Nacional,-510922
1995-06-01,Tesouro Nacional,-1303030
1995-07-01,Tesouro Nacional,1128110
1995-08-01,Tesouro Nacional,-706856
1995-09-01,Tesouro Nacional,352998
1995-10-01,Tesouro Nacional,-844945
1995-11-01,Tesouro Nacional,-1025056
1995-12-01,Tesouro Nacional,913253
1996-01-01,Tesouro Nacional,2402519
1996-02-01,Tesouro Nacional,687486
1996-03-01,Tesouro Nacional,231017
1996-04-01,Tesouro Nacional,-1714923
1996-05-01,Tesouro Nacional,4923265
1996-06-01,Tesouro Nacional,278735
1996-07-01,Tesouro Nacional,-888593
1996-08-01,Tesouro Nacional,-587763
1996-09-01,Tesouro Nacional,283013
1996-10-01,Tesouro Nacional,-583228
1996-11-01,Tesouro Nacional,38237
1996-12-01,Tesouro Nacional,443623
1997-01-01,Tesouro Nacional,2175102
1997-02-01,Tesouro Nacional,-560062
1997-03-01,Tesouro Nacional,-325590
1997-04-01,Tesouro Nacional,-2043467
1997-05-01,Tesouro Nacional,-2871363
1997-06-01,Tesouro Nacional,166621
1997-07-01,Tesouro Nacional,-379749
1997-08-01,Tesouro Nacional,-1727357
1997-09-01,Tesouro Nacional,2241023
1997-10-01,Tesouro Nacional,342251
1997-11-01,Tesouro Nacional,-478040
1997-12-01,Tesouro Nacional,-1614296
1998-01-01,Tesouro Nacional,-977688
1998-02-01,Tesouro Nacional,-32225
1998-03-01,Tesouro Nacional,793616
1998-04-01,Tesouro Nacional,-6543600
1998-05-01,Tesouro Nacional,-471382
1998-06-01,Tesouro Nacional,1214963
1998-07-01,Tesouro Nacional,-956095
1998-08-01,Tesouro Nacional,-8643246
1998-09-01,Tesouro Nacional,-680647
1998-10-01,Tesouro Nacional,-892087
1998-11-01,Tesouro Nacional,2773140
1998-12-01,Tesouro Nacional,-691282
1999-01-01,Tesouro Nacional,-100479
1999-02-01,Tesouro Nacional,-815318
1999-03-01,Tesouro Nacional,-1768481
1999-04-01,Tesouro Nacional,-2649540
1999-05-01,Tesouro Nacional,25001
1999-06-01,Tesouro Nacional,-843492
1999-07-01,Tesouro Nacional,-1627069
1999-08-01,Tesouro Nacional,-6433620
1999-09-01,Tesouro Nacional,-2901287
1999-10-01,Tesouro Nacional,722546
1999-11-01,Tesouro Nacional,607330
1999-12-01,Tesouro Nacional,221121
2000-01-01,Tesouro Nacional,2242752
2000-02-01,Tesouro Nacional,-1382533
2000-03-01,Tesouro Nacional,-3287886
2000-04-01,Tesouro Nacional,-3704080
2000-05-01,Tesouro Nacional,-2013688
2000-06-01,Tesouro Nacional,-2145842
2000-07-01,Tesouro Nacional,1229336
