date,indicador,valor
2012-01-01,Agropecuária,16525
2012-02-01,Agropecuária,16523
2012-03-01,Agropecuária,16949
2012-04-01,Agropecuária,17118
2012-05-01,Agropecuária,17443
2012-06-01,Agropecuária,17825
2012-07-01,Agropecuária,17717
2012-08-01,Agropecuária,18029
2012-09-01,Agropecuária,18424
2012-10-01,Agropecuária,18523
2012-11-01,Agropecuária,19178
2012-12-01,Agropecuária,19663
2013-01-01,Agropecuária,19359
2013-02-01,Agropecuária,19250
2013-03-01,Agropecuária,19148
2013-04-01,Agropecuária,19196
2013-05-01,Agropecuária,19350
2013-06-01,Agropecuária,19762
2013-07-01,Agropecuária,19528
2013-08-01,Agropecuária,20244
2013-09-01,Agropecuária,20414
2013-10-01,Agropecuária,20710
2013-11-01,Agropecuária,20972
2013-12-01,Agropecuária,21301
2014-01-01,Agropecuária,21162
2014-02-01,Agropecuária,21139
2014-03-01,Agropecuária,21353
2014-04-01,Agropecuária,21468
2014-05-01,Agropecuária,21526
2014-06-01,Agropecuária,21634
2014-07-01,Agropecuária,21509
2014-08-01,Agropecuária,21769
2014-09-01,Agropecuária,22390
2014-10-01,Agropecuária,22358
2014-11-01,Agropecuária,22423
2014-12-01,Agropecuária,23204
2015-01-01,Agropecuária,22982
2015-02-01,Agropecuária,23122
2015-03-01,Agropecuária,23643
2015-04-01,Agropecuária,23143
2015-05-01,Agropecuária,22944
2015-06-01,Agropecuária,23277
2015-07-01,Agropecuária,23611
2015-08-01,Agropecuária,23853
2015-09-01,Agropecuária,24375
2015-10-01,Agropecuária,24171
2015-11-01,Agropecuária,24044
2015-12-01,Agropecuária,24623
2016-01-01,Agropecuária,24261
2016-02-01,Agropecuária,23936
2016-03-01,Agropecuária,23458
2016-04-01,Agropecuária,23229
2016-05-01,Agropecuária,22958
2016-06-01,Agropecuária,22842
2016-07-01,Agropecuária,23019
2016-08-01,Agropecuária,23141
2016-09-01,Agropecuária,23018
2016-10-01,Agropecuária,23052
2016-11-01,Agropecuária,23402
2016-12-01,Agropecuária,23764
2017-01-01,Agropecuária,22561
2017-02-01,Agropecuária,22588
2017-03-01,Agropecuária,22434
2017-04-01,Agropecuária,22246
2017-05-01,Agropecuária,22294
2017-06-01,Agropecuária,22429
2017-07-01,Agropecuária,21961
2017-08-01,Agropecuária,22255
2017-09-01,Agropecuária,21951
2017-10-01,Agropecuária,21774
2017-11-01,Agropecuária,21614
2017-12-01,Agropecuária,21614
2018-01-01,Agropecuária,21290
2018-02-01,Agropecuária,21476
2018-03-01,Agropecuária,21795
2018-04-01,Agropecuária,21673
2018-05-01,Agropecuária,22646
2018-06-01,Agropecuária,22664
2018-07-01,Agropecuária,22767
2018-08-01,Agropecuária,23430
2012-01-01,Indústria Extrativa,19497
2012-02-01,Indústria Extrativa,19602
2012-03-01,Indústria Extrativa,21056
2012-04-01,Indústria Extrativa,21252
2012-05-01,Indústria Extrativa,21548
2012-06-01,Indústria Extrativa,21735
2012-07-01,Indústria Extrativa,22224
2012-08-01,Indústria Extrativa,22478
2012-09-01,Indústria Extrativa,24209
2012-10-01,Indústria Extrativa,27169
2012-11-01,Indústria Extrativa,25809
2012-12-01,Indústria Extrativa,26579
2013-01-01,Indústria Extrativa,26061
2013-02-01,Indústria Extrativa,26378
2013-03-01,Indústria Extrativa,26962
2013-04-01,Indústria Extrativa,27773
2013-05-01,Indústria Extrativa,29430
2013-06-01,Indústria Extrativa,28522
2013-07-01,Indústria Extrativa,28460
2013-08-01,Indústria Extrativa,28514
2013-09-01,Indústria Extrativa,28488
2013-10-01,Indústria Extrativa,27688
2013-11-01,Indústria Extrativa,28753
2013-12-01,Indústria Extrativa,31318
2014-01-01,Indústria Extrativa,31150
2014-02-01,Indústria Extrativa,31159
2014-03-01,Indústria Extrativa,31292
2014-04-01,Indústria Extrativa,31184
2014-05-01,Indústria Extrativa,31409
2014-06-01,Indústria Extrativa,31175
2014-07-01,Indústria Extrativa,31264
2014-08-01,Indústria Extrativa,31617
2014-09-01,Indústria Extrativa,32330
2014-10-01,Indústria Extrativa,34087
2014-11-01,Indústria Extrativa,34633
