date,indicador,valor
1994-01-01,Papel Moeda Emitido,1087756887
1994-02-01,Papel Moeda Emitido,1546529051
1994-03-01,Papel Moeda Emitido,2243861238
1994-04-01,Papel Moeda Emitido,3240678462
1994-05-01,Papel Moeda Emitido,4456542737
1994-06-01,Papel Moeda Emitido,6283173536
1994-07-01,Papel Moeda Emitido,4723550
1994-08-01,Papel Moeda Emitido,5153013
1994-09-01,Papel Moeda Emitido,6392158
1994-10-01,Papel Moeda Emitido,6418164
1994-11-01,Papel Moeda Emitido,7178732
1994-12-01,Papel Moeda Emitido,10045617
1995-01-01,Papel Moeda Emitido,7957394
1995-02-01,Papel Moeda Emitido,9327589
1995-03-01,Papel Moeda Emitido,7852447
1995-04-01,Papel Moeda Emitido,8188849
1995-05-01,Papel Moeda Emitido,7636178
1995-06-01,Papel Moeda Emitido,8370027
1995-07-01,Papel Moeda Emitido,8492033
1995-08-01,Papel Moeda Emitido,8728675
1995-09-01,Papel Moeda Emitido,9280036
1995-10-01,Papel Moeda Emitido,9344466
1995-11-01,Papel Moeda Emitido,10323813
1995-12-01,Papel Moeda Emitido,13770097
1996-01-01,Papel Moeda Emitido,11028551
1996-02-01,Papel Moeda Emitido,10974643
1996-03-01,Papel Moeda Emitido,11080575
1996-04-01,Papel Moeda Emitido,11031935
1996-05-01,Papel Moeda Emitido,11354467
1996-06-01,Papel Moeda Emitido,12043453
1996-07-01,Papel Moeda Emitido,11654025
1996-08-01,Papel Moeda Emitido,12293126
1996-09-01,Papel Moeda Emitido,12829785
1996-10-01,Papel Moeda Emitido,12696551
1996-11-01,Papel Moeda Emitido,14031928
1996-12-01,Papel Moeda Emitido,17187949
1997-01-01,Papel Moeda Emitido,15735109
1997-02-01,Papel Moeda Emitido,15485566
1997-03-01,Papel Moeda Emitido,15304628
1997-04-01,Papel Moeda Emitido,15041552
1997-05-01,Papel Moeda Emitido,15334469
1997-06-01,Papel Moeda Emitido,15130165
1997-07-01,Papel Moeda Emitido,15139016
1997-08-01,Papel Moeda Emitido,15446925
1997-09-01,Papel Moeda Emitido,15132614
1997-10-01,Papel Moeda Emitido,15708776
1997-11-01,Papel Moeda Emitido,16669299
1997-12-01,Papel Moeda Emitido,20250732
1998-01-01,Papel Moeda Emitido,17531732
1998-02-01,Papel Moeda Emitido,17403211
1998-03-01,Papel Moeda Emitido,16367828
1998-04-01,Papel Moeda Emitido,17236900
1998-05-01,Papel Moeda Emitido,17285723
1998-06-01,Papel Moeda Emitido,17412127
1998-07-01,Papel Moeda Emitido,17911187
1998-08-01,Papel Moeda Emitido,18161467
1998-09-01,Papel Moeda Emitido,18405182
1998-10-01,Papel Moeda Emitido,19311772
1998-11-01,Papel Moeda Emitido,19873545
1998-12-01,Papel Moeda Emitido,24166790
1999-01-01,Papel Moeda Emitido,21302202
1999-02-01,Papel Moeda Emitido,21447977
1999-03-01,Papel Moeda Emitido,20819497
1999-04-01,Papel Moeda Emitido,19719089
1999-05-01,Papel Moeda Emitido,19409076
1999-06-01,Papel Moeda Emitido,19785451
1999-07-01,Papel Moeda Emitido,20497732
1999-08-01,Papel Moeda Emitido,20041038
1999-09-01,Papel Moeda Emitido,20279634
1999-10-01,Papel Moeda Emitido,21006299
1999-11-01,Papel Moeda Emitido,21624912
1999-12-01,Papel Moeda Emitido,29837941
2000-01-01,Papel Moeda Emitido,24199689
2000-02-01,Papel Moeda Emitido,23068674
2000-03-01,Papel Moeda Emitido,22732484
2000-04-01,Papel Moeda Emitido,23279829
2000-05-01,Papel Moeda Emitido,22470333
2000-06-01,Papel Moeda Emitido,23226893
2000-07-01,Papel Moeda Emitido,23556236
2000-08-01,Papel Moeda Emitido,23493551
2000-09-01,Papel Moeda Emitido,24798317
2000-10-01,Papel Moeda Emitido,24265860
2000-11-01,Papel Moeda Emitido,25540755
2000-12-01,Papel Moeda Emitido,32633056
2001-01-01,Papel Moeda Emitido,27419363
2001-02-01,Papel Moeda Emitido,28152323
2001-03-01,Papel Moeda Emitido,26731201
2001-04-01,Papel Moeda Emitido,27054050
2001-05-01,Papel Moeda Emitido,26844819
2001-06-01,Papel Moeda Emitido,27749549
2001-07-01,Papel Moeda Emitido,27685495
2001-08-01,Papel Moeda Emitido,28004843
2001-09-01,Papel Moeda Emitido,28812161
2001-10-01,Papel Moeda Emitido,28609530
2001-11-01,Papel Moeda Emitido,30066738
2001-12-01,Papel Moeda Emitido,37668836
2002-01-01,Papel Moeda Emitido,32388231
2002-02-01,Papel Moeda Emitido,32102817
2002-03-01,Papel Moeda Emitido,32547930
2002-04-01,Papel Moeda Emitido,31178230
2002-05-01,Papel Moeda Emitido,32930327
2002-06-01,Papel Moeda Emitido,33899629
2002-07-01,Papel Moeda Emitido,34679951
2002-08-01,Papel Moeda Emitido,36396984
2002-09-01,Papel Moeda Emitido,37819862
2002-10-01,Papel Moeda Emitido,39188893
2002-11-01,Papel Moeda Emitido,41071902
2002-12-01,Papel Moeda Emitido,49931066
2003-01-01,Papel Moeda Emitido,43639339
2003-02-01,Papel Moeda Emitido,43663530
2003-03-01,Papel Moeda Emitido,39909573
2003-04-01,Papel Moeda Emitido,39047731
2003-05-01,Papel Moeda Emitido,38816444
2003-06-01,Papel Moeda Emitido,38798575
2003-07-01,Papel Moeda Emitido,39231301
2003-08-01,Papel Moeda Emitido,39812705
2003-09-01,Papel Moeda Emitido,39155681
2003-10-01,Papel Moeda Emitido,40139626
2003-11-01,Papel Moeda Emitido,42691722
2003-12-01,Papel Moeda Emitido,51363863
2004-01-01,Papel Moeda Emitido,46063907
2004-02-01,Papel Moeda Emitido,46011386
2004-03-01,Papel Moeda Emitido,44481983
