date,SELIC
1998-12-31,28.96
1999-01-04,29.04
1999-01-05,28.93
1999-01-06,28.94
1999-01-07,29.01
1999-01-08,29.13
1999-01-11,29.34
1999-01-12,29.33
1999-01-13,29.81
1999-01-14,29.83
1999-01-15,30.09
1999-01-18,29.85
1999-01-19,32.03
1999-01-20,32.17
1999-01-21,32.99
1999-01-22,32.48
1999-01-25,32.47
1999-01-26,32.48
1999-01-27,33.86
1999-01-28,35.48
1999-01-29,36.94
1999-02-01,38.79
1999-02-02,38.97
1999-02-03,38.99
1999-02-04,38.99
1999-02-05,38.99
1999-02-08,38.99
1999-02-09,38.99
1999-02-10,38.99
1999-02-11,38.99
1999-02-12,39
1999-02-17,38.99
1999-02-18,38.99
1999-02-19,38.99
1999-02-22,38.93
1999-02-23,38.98
1999-02-24,39
1999-02-25,38.97
1999-02-26,39
1999-03-01,38.98
1999-03-02,38.98
1999-03-03,39
1999-03-04,38.97
1999-03-05,44.92
1999-03-08,44.97
1999-03-09,44.84
1999-03-10,44.91
1999-03-11,44.97
1999-03-12,44.96
1999-03-15,44.96
1999-03-16,44.96
1999-03-17,44.96
1999-03-18,44.96
1999-03-19,44.99
1999-03-22,44.98
1999-03-23,44.95
1999-03-24,44.94
1999-03-25,41.96
1999-03-26,42.02
1999-03-29,41.99
1999-03-30,41.97
1999-03-31,41.93
1999-04-05,41.91
1999-04-06,39.47
1999-04-07,39.44
1999-04-08,39.44
1999-04-09,39.42
1999-04-12,39.41
1999-04-13,39.4
1999-04-14,39.39
1999-04-15,33.9
1999-04-16,33.96
1999-04-19,33.94
1999-04-20,33.94
1999-04-22,33.93
1999-04-23,33.92
1999-04-26,33.89
1999-04-27,33.89
1999-04-28,33.89
1999-04-29,31.97
1999-04-30,31.93
1999-05-03,31.9
1999-05-04,31.92
1999-05-05,31.9
1999-05-06,31.88
1999-05-07,31.87
1999-05-10,29.67
1999-05-11,29.46
1999-05-12,29.45
1999-05-13,27.04
1999-05-14,27.03
1999-05-17,26.94
1999-05-18,26.91
1999-05-19,26.89
1999-05-20,23.53
1999-05-21,23.46
1999-05-24,23.43
1999-05-25,23.42
1999-05-26,23.39
1999-05-27,23.38
1999-05-28,23.35
1999-05-31,23.34
1999-06-01,23.28
1999-06-02,23.29
1999-06-04,23.28
1999-06-07,23.28
1999-06-08,23.27
1999-06-09,21.99
1999-06-10,21.98
1999-06-11,21.97
1999-06-14,21.95
1999-06-15,21.92
1999-06-16,21.92
1999-06-17,21.9
1999-06-18,21.89
1999-06-21,21.88
1999-06-22,21.87
1999-06-23,21.84
1999-06-24,20.98
1999-06-25,20.97
1999-06-28,20.97
1999-06-29,20.96
1999-06-30,20.96
1999-07-01,20.94
1999-07-02,20.93
1999-07-05,21.05
1999-07-06,20.93
1999-07-07,20.9
1999-07-08,20.9
1999-07-09,20.88
1999-07-12,20.89
1999-07-13,20.87
1999-07-14,20.86
1999-07-15,20.86
1999-07-16,20.84
1999-07-19,20.83
1999-07-20,20.82
1999-07-21,20.81
1999-07-22,20.79
1999-07-23,20.79
1999-07-26,20.78
1999-07-27,20.77
1999-07-28,20.76
1999-07-29,19.52
1999-07-30,19.51
1999-08-02,19.51
1999-08-03,19.51
1999-08-04,19.51
1999-08-05,19.51
1999-08-06,19.51
1999-08-09,19.51
1999-08-10,19.51
1999-08-11,19.51
1999-08-12,19.51
1999-08-13,19.51
1999-08-16,19.52
1999-08-17,19.52
1999-08-18,19.52
1999-08-19,19.52
1999-08-20,19.52
1999-08-23,19.52
1999-08-24,19.52
1999-08-25,19.52
1999-08-26,19.52
1999-08-27,19.51
1999-08-30,19.51
1999-08-31,19.52
1999-09-01,19.51
1999-09-02,19.52
1999-09-03,19.53
1999-09-06,19.53
1999-09-08,19.52
1999-09-09,19.52
1999-09-10,19.52
1999-09-13,19.52
1999-09-14,19.52
1999-09-15,19.52
1999-09-16,19.53
1999-09-17,19.52
1999-09-20,19.52
1999-09-21,19.51
1999-09-22,19.5
1999-09-23,19.11
1999-09-24,19.02
1999-09-27,19.04
1999-09-28,19.02
1999-09-29,19.01
1999-09-30,19
1999-10-01,19
1999-10-04,18.99
1999-10-05,18.97
1999-10-06,18.96
1999-10-07,18.96
1999-10-08,18.95
1999-10-11,18.94
1999-10-13,18.93
1999-10-14,18.91
1999-10-15,18.91
1999-10-18,18.9
1999-10-19,18.89
1999-10-20,18.88
1999-10-21,18.88
1999-10-22,18.87
1999-10-25,18.86
1999-10-26,18.85
1999-10-27,18.84
1999-10-28,18.83
1999-10-29,18.83
1999-11-01,18.82
1999-11-03,18.81
1999-11-04,18.81
1999-11-05,18.81
1999-11-08,18.81
1999-11-09,18.81
1999-11-10,18.81
1999-11-11,18.99
1999-11-12,19.01
1999-11-16,19.01
1999-11-17,19.01
1999-11-18,19.01
1999-11-19,19.02
1999-11-22,19.02
1999-11-23,19.02
1999-11-24,19.02
1999-11-25,19.03
1999-11-26,19.03
1999-11-29,19.04
1999-11-30,19.03
1999-12-01,19.02
1999-12-02,18.98
1999-12-03,18.97
1999-12-06,18.97
1999-12-07,18.96
1999-12-08,18.95
1999-12-09,18.95
1999-12-10,18.95
1999-12-13,18.95
1999-12-14,18.95
1999-12-15,18.95
1999-12-16,18.98
1999-12-17,18.99
1999-12-20,18.99
1999-12-21,19.03
1999-12-22,18.97
1999-12-23,19.02
1999-12-24,19.02
1999-12-27,19.05
1999-12-28,19.04
1999-12-29,19.02
1999-12-30,19.04
1999-12-31,19.04
2000-01-03,19.04
2000-01-04,19.04
2000-01-05,19.05
2000-01-06,19.07
2000-01-07,19.07
2000-01-10,19.02
2000-01-11,18.98
2000-01-12,18.93
2000-01-13,18.92
2000-01-14,18.9
2000-01-17,18.91
2000-01-18,18.89
2000-01-19,18.87
2000-01-20,18.87
2000-01-21,18.87
2000-01-24,18.87
2000-01-25,18.87
2000-01-26,18.87
2000-01-27,18.87
2000-01-28,18.88
2000-01-31,18.9
2000-02-01,18.87
2000-02-02,18.86
2000-02-03,18.87
2000-02-04,18.88
2000-02-07,18.87
2000-02-08,18.87
2000-02-09,18.87
2000-02-10,18.87
2000-02-11,18.86
2000-02-14,18.87
2000-02-15,18.87
2000-02-16,18.87
2000-02-17,18.87
2000-02-18,18.87
2000-02-21,18.87
2000-02-22,18.87
2000-02-23,18.87
2000-02-24,18.87
2000-02-25,18.87
2000-02-28,18.87
2000-02-29,18.87
2000-03-01,18.88
2000-03-02,18.89
2000-03-03,18.88
2000-03-08,18.87
2000-03-09,18.87
2000-03-10,18.89
2000-03-13,18.88
2000-03-14,18.88
2000-03-15,18.88
2000-03-16,18.88
2000-03-17,18.88
2000-03-20,18.88
2000-03-21,18.87
2000-03-22,18.88
2000-03-23,18.91
2000-03-24,18.94
2000-03-27,19.03
2000-03-28,18.87
2000-03-29,18.6
2000-03-30,18.6
2000-03-31,18.52
2000-04-03,18.49
2000-04-04,18.53
2000-04-05,18.65
2000-04-06,18.66
2000-04-07,18.64
2000-04-10,18.59
2000-04-11,18.65
2000-04-12,18.64
2000-04-13,18.65
2000-04-14,18.64
2000-04-17,18.65
2000-04-18,18.63
2000-04-19,18.54
2000-04-20,18.65
2000-04-24,18.62
2000-04-25,18.61
2000-04-26,18.64
2000-04-27,18.65
2000-04-28,18.62
2000-05-02,18.6
2000-05-03,18.64
2000-05-04,18.64
2000-05-05,18.64
