"";"ano";"uf";"divisao";"percentual";"vinculos"
"1";1994;"AC";1;0,535238095238095;2100
"22";1994;"AC";5;0;0
"3";1994;"AC";10;0;0
"6";1994;"AC";11;0,75;20
"4";1994;"AC";13;0;0
"5";1994;"AC";14;0,511627906976744;43
"13";1994;"AC";15;0,432173913043478;1150
"17";1994;"AC";16;0;8
"19";1994;"AC";17;0;0
"2";1994;"AC";18;0,852941176470588;34
"23";1994;"AC";19;0,952380952380952;21
"14";1994;"AC";20;0,67319679430098;1123
"7";1994;"AC";21;0,222222222222222;18
"8";1994;"AC";23;0;0
"18";1994;"AC";24;1;8
"16";1994;"AC";26;0,492434662998624;727
"21";1994;"AC";27;0;0
"15";1994;"AC";28;0,864864864864865;37
"9";1994;"AC";29;0;0
"10";1994;"AC";31;0;0
"20";1994;"AC";34;0,842105263157895;19
"12";1994;"AC";35;0;0
"11";1994;"AC";36;0,807228915662651;83
"24";1994;"AL";1;0,550531655448249;20502
"45";1994;"AL";5;0,44;100
"26";1994;"AL";10;0;0
"29";1994;"AL";11;0,192982456140351;57
"27";1994;"AL";13;0,0769230769230769;65
"28";1994;"AL";14;0,616780045351474;441
"36";1994;"AL";15;0,429010363323902;57607
"40";1994;"AL";16;0,736019242333133;1663
"42";1994;"AL";17;0,556149732620321;2244
"25";1994;"AL";18;0,878688524590164;305
"46";1994;"AL";19;0,936842105263158;95
"37";1994;"AL";20;0,757322175732218;239
"30";1994;"AL";21;0,509090909090909;110
"31";1994;"AL";23;0,314856998228297;3951
"41";1994;"AL";24;0,0881372081943783;2099
"39";1994;"AL";26;0,589887640449438;1424
"44";1994;"AL";27;0,106293706293706;715
"38";1994;"AL";28;0,626984126984127;252
"32";1994;"AL";29;0,284518828451883;239
"33";1994;"AL";31;0,641791044776119;67
"43";1994;"AL";34;0,310975609756098;164
"35";1994;"AL";35;1;11
"34";1994;"AL";36;0,666666666666667;615
"47";1994;"AM";1;0,37291280148423;1078
"68";1994;"AM";5;0,764705882352941;51
"49";1994;"AM";10;0;0
"52";1994;"AM";11;0,0408163265306122;147
"50";1994;"AM";13;0,0444915254237288;1416
"51";1994;"AM";14;0,0779220779220779;154
"59";1994;"AM";15;0,240760869565217;7360
"63";1994;"AM";16;0;24
"65";1994;"AM";17;0,510608203677511;1414
"48";1994;"AM";18;0,580357142857143;448
"69";1994;"AM";19;0,182978723404255;235
"60";1994;"AM";20;0,560777957860616;6170
"53";1994;"AM";21;0,106910039113429;767
"54";1994;"AM";23;0,00635593220338983;472
"64";1994;"AM";24;0,186358754027927;1862
"62";1994;"AM";26;0,299382716049383;972
"67";1994;"AM";27;0,219063545150502;598
"61";1994;"AM";28;0,0812403100775194;3225
"55";1994;"AM";29;0,129151291512915;1084
"56";1994;"AM";31;0,105296343001261;1586
"66";1994;"AM";34;0,0522875816993464;306
"58";1994;"AM";35;0,0284893464208762;4177
"57";1994;"AM";36;0,228852838933951;1726
"70";1994;"AP";1;0,563981042654028;211
"91";1994;"AP";5;0,0849056603773585;106
"72";1994;"AP";10;0;0
"75";1994;"AP";11;0;0
"73";1994;"AP";13;0,0452830188679245;1325
"74";1994;"AP";14;0;4
"82";1994;"AP";15;0,281413612565445;764
"86";1994;"AP";16;0;6
"88";1994;"AP";17;0,75;4
"71";1994;"AP";18;0;0
"92";1994;"AP";19;0;0
"83";1994;"AP";20;0,720588235294118;68
"76";1994;"AP";21;0,0750307503075031;813
"77";1994;"AP";23;0;0
"87";1994;"AP";24;0;4
"85";1994;"AP";26;0,716577540106952;187
"90";1994;"AP";27;0,0451127819548872;133
"84";1994;"AP";28;0,461538461538462;299
"78";1994;"AP";29;0;0
"79";1994;"AP";31;0;0
"89";1994;"AP";34;0,666666666666667;3
"81";1994;"AP";35;0;0
"80";1994;"AP";36;0,833333333333333;18
"93";1994;"BA";1;0,746854923856051;55881
